time,icao,operation,airport,registration,flight,ac_type,ac_size,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,latitude,longitude,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
1/1/2025 1:02,75027d,landing,WMKP,9M-AQD,AXM6144,A320,medium,4,https://globe.adsbexchange.com/?icao=75027d&zoom=13.5&showTrace=2025-01-01&timestamp=1735693361,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:04,750208,takeoff,WMKK,9M-MXH,MAS806,B738,medium,,https://globe.adsbexchange.com/?icao=750208&zoom=13.5&showTrace=2025-01-01&timestamp=1735693451,2155,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:05,7502d5,takeoff,WMKK,9M-LRT,MXD801,B38M,medium,,https://globe.adsbexchange.com/?icao=7502d5&zoom=13.5&showTrace=2025-01-01&timestamp=1735693552,2120,adsb_icao,A3,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:06,76b442,landing,WMKP,9V-MBB,SIA132,B38M,medium,4,https://globe.adsbexchange.com/?icao=76b442&zoom=13.5&showTrace=2025-01-01&timestamp=1735693604,2241,adsb_icao,A3,,,Boeing 737-8MAX,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:08,7.50E+07,landing,WMKJ,9M-AHE,AXM6051,A320,medium,,https://globe.adsbexchange.com/?icao=7500e4&zoom=13.5&showTrace=2025-01-01&timestamp=1735693692,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 1:09,78114f,takeoff,WMKP,B-8380,,A21N,medium,,https://globe.adsbexchange.com/?icao=78114f&zoom=13.5&showTrace=2025-01-01&timestamp=1735693749,,adsb_icao,A3,,,Airbus A321-271N,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:12,75002c,takeoff,WMKP,9M-AHL,,A320,medium,,https://globe.adsbexchange.com/?icao=75002c&zoom=13.5&showTrace=2025-01-01&timestamp=1735693961,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:17,a03f48,landing,WMKP,N115FE,FDX6159,B763,big,4,https://globe.adsbexchange.com/?icao=a03f48&zoom=13.5&showTrace=2025-01-01&timestamp=1735694230,740,adsb_icao,A5,2015,BOEING,767-3S2F,FEDERAL EXPRESS CORP,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 1:18,7105ac,takeoff,WMKK,HZ-AR25,SVA831,B78X,big,,https://globe.adsbexchange.com/?icao=7105ac&zoom=13.5&showTrace=2025-01-01&timestamp=1735694327,2174,adsb_icao,A5,,,Boeing 787-10,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 1:22,8a0947,takeoff,WMKK,PK-TLB,TNU676,A320,medium,,https://globe.adsbexchange.com/?icao=8a0947&zoom=13.5&showTrace=2025-01-01&timestamp=1735694574,,adsb_icao,A3,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
